0,0,5,3,4,,
0,10,25,25,25,,
0,20,65,65,65,,
0,30,119,119,119,,
0,40,174,174,174,,
0,50,230,230,230,,
0,60,292,292,292,,
0,70,358,358,358,,
0,80,428,428,428,,
0,90,495,495,495,,
0,100,575,575,575,,
0,110,647,647,647,,
0,120,717,717,717,,
0,130,791,791,791,,
0,140,846,846,846,,
0,150,906,906,906,,
0,160,965,965,965,,
0,170,1029,1029,1029,,
0,180,1083,1083,1083,,
0,190,1145,1145,1145,,
0,200,1224,1224,1224,,
0,210,1298,1298,1298,,
0,220,1375,1375,1375,,
0,230,1448,1448,1448,,
0,240,1536,1536,1536,,
0,250,1602,1602,1602,,
0,260,1678,1678,1678,,
0,270,1737,1737,1737,,
0,280,1802,1802,1802,,
0,290,1864,1864,1864,,
0,300,1921,1921,1921,,
0,310,1972,1972,1972,,
0,320,2047,2047,2047,,
0,330,2117,2117,2117,,
0,340,2190,2190,2190,,
0,350,2280,2280,2280,,
0,360,2336,2336,2336,,
0,370,2406,2406,2406,,
0,380,2488,2488,2488,,
0,390,2553,2553,2553,,
0,400,2609,2609,2609,,
0,410,2676,2676,2676,,
0,420,2743,2743,2743,,
0,430,2787,2787,2787,,
0,440,2836,2836,2836,,
0,450,2922,2922,2922,,
0,460,3000,3000,3000,,
0,470,3054,3054,3054,,
0,480,3125,3125,3125,,
0,490,3215,3215,3215,,
0,500,3285,3285,3285,,
0,510,3358,3358,3358,,
0,520,3416,3416,3416,,
0,530,3474,3474,3474,,
0,540,3543,3543,3543,,
0,550,3588,3588,3588,,
0,560,3640,3640,3640,,
0,570,3703,3703,3703,,
0,580,3786,3786,3786,,
0,590,3804,3804,3804,,
0,600,3898,3898,3898,,
0,610,3989,3989,3989,,
0,620,4054,4054,4054,,
0,630,4105,4105,4105,,
0,640,4175,4175,4175,,
0,650,4242,4242,4242,,
0,660,4300,4300,4300,,
0,670,4327,4327,4327,,
0,680,4372,4372,4372,,
0,690,4448,4448,4448,,
0,700,4497,4497,4497,,
0,710,4570,4570,4570,,
0,720,4624,4624,4624,,
0,730,4711,4711,4711,,
0,740,4773,4773,4773,,
0,750,4819,4819,4819,,
0,760,4891,4891,4891,,
0,770,4949,4949,4949,,
0,780,5024,5024,5024,,
0,790,5063,5063,5063,,
0,800,5103,5103,5103,,
0,810,5153,5153,5153,,
0,820,5212,5212,5212,,
0,830,5279,5279,5279,,
0,840,5322,5322,5322,,
0,850,5397,5397,5397,,
0,860,5437,5437,5437,,
0,870,5484,5484,5484,,
0,880,5571,5571,5571,,
0,890,5578,5578,5578,,
0,900,5636,5636,5636,,
0,910,5728,5728,5728,,
0,920,5689,5689,5689,,
0,930,5781,5781,5781,,
0,940,5864,5864,5864,,
0,950,5909,5909,5909,,
0,960,5942,5942,5942,,
0,970,5946,5946,5946,,
0,980,6029,6029,6029,,
0,990,6119,6119,6119,,
