0,31,31,31,31,31,
1,31,31,31,31,31,
2,37,37,37,37,37,
3,57,57,57,57,57,
4,78,78,78,78,78,
5,98,98,98,98,98,
6,120,120,120,120,120,
7,145,145,145,145,145,
8,165,165,165,165,165,
9,187,187,187,187,187,
10,210,210,210,210,210,
11,236,236,236,236,236,
12,262,262,262,262,262,
13,262,262,262,262,262,
14,306,306,306,306,306,
15,306,306,306,306,306,
16,358,358,358,358,358,
17,358,358,358,358,358,
18,406,406,406,406,406,
19,406,406,406,406,406,
20,457,457,457,457,457,
21,457,457,457,457,457,
22,508,508,508,508,508,
23,508,508,508,508,508,
24,508,508,508,508,508,
25,559,559,559,559,559,
26,559,559,559,559,559,
27,636,636,636,636,636,
28,636,636,636,636,636,
29,636,636,636,636,636,
30,710,710,710,710,710,
31,710,710,710,710,710,
32,710,710,710,710,710,
33,787,787,787,787,787,
34,787,787,787,787,787,
35,787,787,787,787,787,
36,787,787,787,787,787,
37,889,889,889,889,889,
38,889,889,889,889,889,
39,889,889,889,889,889,
40,889,889,889,889,889,
41,993,993,993,993,993,
42,993,993,993,993,993,
43,993,993,993,993,993,
44,993,993,993,993,993,
45,1094,1094,1094,1094,1094,
46,1094,1094,1094,1094,1094,
47,1094,1094,1094,1094,1094,
48,1094,1094,1094,1094,1094,
49,1094,1094,1094,1094,1094,
50,1224,1224,1224,1224,1224,
51,1224,1224,1224,1224,1224,
52,1224,1224,1224,1224,1224,
53,1224,1224,1224,1224,1224,
54,1224,1224,1224,1224,1224,
55,1356,1356,1356,1356,1356,
56,1356,1356,1356,1356,1356,
57,1356,1356,1356,1356,1356,
58,1356,1356,1356,1356,1356,
59,1356,1356,1356,1356,1356,
60,1356,1356,1356,1356,1356,
61,1501,1501,1501,1501,1501,
62,1501,1501,1501,1501,1501,
63,1501,1501,1501,1501,1501,
64,1501,1501,1501,1501,1501,
65,1501,1501,1501,1501,1501,
66,1656,1656,1656,1656,1656,
67,1656,1656,1656,1656,1656,
68,1656,1656,1656,1656,1656,
69,1656,1656,1656,1656,1656,
70,1656,1656,1656,1656,1656,
71,1656,1656,1656,1656,1656,
72,1836,1836,1836,1836,1836,
73,1836,1836,1836,1836,1836,
74,1836,1836,1836,1836,1836,
75,1836,1836,1836,1836,1836,
76,1836,1836,1836,1836,1836,
77,1836,1836,1836,1836,1836,
78,1836,1836,1836,1836,1836,
79,2033,2033,2033,2033,2033,
80,2033,2033,2033,2033,2033,
81,2033,2033,2033,2033,2033,
82,2033,2033,2033,2033,2033,
83,2033,2033,2033,2033,2033,
84,2033,2033,2033,2033,2033,
85,2033,2033,2033,2033,2033,
86,2033,2033,2033,2033,2033,
87,2262,2262,2262,2262,2262,
88,2262,2262,2262,2262,2262,
89,2262,2262,2262,2262,2262,
90,2262,2262,2262,2262,2262,
91,2262,2262,2262,2262,2262,
92,2262,2262,2262,2262,2262,
93,2262,2262,2262,2262,2262,
94,2262,2262,2262,2262,2262,
95,2500,2500,2500,2500,2500,
96,2500,2500,2500,2500,2500,
97,2500,2500,2500,2500,2500,
98,2500,2500,2500,2500,2500,
99,2500,2500,2500,2500,2500,
100,2500,2500,2500,2500,2500,
101,2500,2500,2500,2500,2500,
102,2500,2500,2500,2500,2500,
103,2500,2500,2500,2500,2500,
104,2751,2751,2751,2751,2751,
105,2751,2751,2751,2751,2751,
106,2751,2751,2751,2751,2751,
107,2751,2751,2751,2751,2751,
108,2751,2751,2751,2751,2751,
109,2751,2751,2751,2751,2751,
110,2751,2751,2751,2751,2751,
111,2751,2751,2751,2751,2751,
112,2751,2751,2751,2751,2751,
113,3028,3028,3028,3028,3028,
114,3028,3028,3028,3028,3028,
115,3028,3028,3028,3028,3028,
116,3028,3028,3028,3028,3028,
117,3028,3028,3028,3028,3028,
118,3028,3028,3028,3028,3028,
119,3028,3028,3028,3028,3028,
120,3028,3028,3028,3028,3028,
121,3028,3028,3028,3028,3028,
122,3028,3028,3028,3028,3028,
123,3028,3028,3028,3028,3028,
124,3350,3350,3350,3350,3350,
125,3350,3350,3350,3350,3350,
126,3350,3350,3350,3350,3350,
127,3350,3350,3350,3350,3350,
128,3350,3350,3350,3350,3350,
129,3350,3350,3350,3350,3350,
130,3350,3350,3350,3350,3350,
131,3350,3350,3350,3350,3350,
132,3350,3350,3350,3350,3350,
133,3350,3350,3350,3350,3350,
134,3350,3350,3350,3350,3350,
135,3350,3350,3350,3350,3350,
136,3350,3350,3350,3350,3350,
137,3686,3686,3686,3686,3686,
138,3686,3686,3686,3686,3686,
139,3686,3686,3686,3686,3686,
140,3686,3686,3686,3686,3686,
141,3686,3686,3686,3686,3686,
142,3686,3686,3686,3686,3686,
143,3686,3686,3686,3686,3686,
144,3686,3686,3686,3686,3686,
145,3686,3686,3686,3686,3686,
146,3686,3686,3686,3686,3686,
147,3686,3686,3686,3686,3686,
148,3686,3686,3686,3686,3686,
149,3686,3686,3686,3686,3686,
150,3686,3686,3686,3686,3686,
151,3686,3686,3686,3686,3686,
152,3686,3686,3686,3686,3686,
153,3686,3686,3686,3686,3686,
154,4064,4064,4064,4064,4064,
155,4064,4064,4064,4064,4064,
156,4064,4064,4064,4064,4064,
157,4064,4064,4064,4064,4064,
158,4064,4064,4064,4064,4064,
159,4064,4064,4064,4064,4064,
160,4064,4064,4064,4064,4064,
161,4064,4064,4064,4064,4064,
162,4064,4064,4064,4064,4064,
163,4064,4064,4064,4064,4064,
164,4064,4064,4064,4064,4064,
165,4064,4064,4064,4064,4064,
166,4064,4064,4064,4064,4064,
167,4064,4064,4064,4064,4064,
168,4064,4064,4064,4064,4064,
169,4064,4064,4064,4064,4064,
170,4064,4064,4064,4064,4064,
171,4474,4474,4474,4474,4474,
172,4474,4474,4474,4474,4474,
173,4474,4474,4474,4474,4474,
174,4474,4474,4474,4474,4474,
175,4474,4474,4474,4474,4474,
176,4474,4474,4474,4474,4474,
177,4474,4474,4474,4474,4474,
178,4474,4474,4474,4474,4474,
179,4474,4474,4474,4474,4474,
180,4474,4474,4474,4474,4474,
181,4474,4474,4474,4474,4474,
182,4474,4474,4474,4474,4474,
183,4474,4474,4474,4474,4474,
184,4474,4474,4474,4474,4474,
185,4474,4474,4474,4474,4474,
186,4474,4474,4474,4474,4474,
187,4474,4474,4474,4474,4474,
188,4474,4474,4474,4474,4474,
189,4474,4474,4474,4474,4474,
190,4474,4474,4474,4474,4474,
191,4923,4923,4923,4923,4923,
192,4923,4923,4923,4923,4923,
193,4923,4923,4923,4923,4923,
194,4923,4923,4923,4923,4923,
195,4923,4923,4923,4923,4923,
196,4923,4923,4923,4923,4923,
197,4923,4923,4923,4923,4923,
198,4923,4923,4923,4923,4923,
199,4923,4923,4923,4923,4923,
200,4923,4923,4923,4923,4923,
201,4923,4923,4923,4923,4923,
202,4923,4923,4923,4923,4923,
203,4923,4923,4923,4923,4923,
204,4923,4923,4923,4923,4923,
205,4923,4923,4923,4923,4923,
206,4923,4923,4923,4923,4923,
207,4923,4923,4923,4923,4923,
208,5421,5421,5421,5421,5421,
209,5421,5421,5421,5421,5421,
210,5421,5421,5421,5421,5421,
211,5421,5421,5421,5421,5421,
212,5421,5421,5421,5421,5421,
213,5421,5421,5421,5421,5421,
214,5421,5421,5421,5421,5421,
215,5421,5421,5421,5421,5421,
216,5421,5421,5421,5421,5421,
217,5421,5421,5421,5421,5421,
218,5421,5421,5421,5421,5421,
219,5421,5421,5421,5421,5421,
220,5421,5421,5421,5421,5421,
221,5421,5421,5421,5421,5421,
222,5421,5421,5421,5421,5421,
223,5421,5421,5421,5421,5421,
224,5421,5421,5421,5421,5421,
225,5421,5421,5421,5421,5421,
226,5421,5421,5421,5421,5421,
227,5978,5978,5978,5978,5978,
228,5978,5978,5978,5978,5978,
229,5978,5978,5978,5978,5978,
230,5978,5978,5978,5978,5978,
231,5978,5978,5978,5978,5978,
232,5978,5978,5978,5978,5978,
233,5978,5978,5978,5978,5978,
234,5978,5978,5978,5978,5978,
235,5978,5978,5978,5978,5978,
236,5978,5978,5978,5978,5978,
237,5978,5978,5978,5978,5978,
238,5978,5978,5978,5978,5978,
239,5978,5978,5978,5978,5978,
240,5978,5978,5978,5978,5978,
241,5978,5978,5978,5978,5978,
242,5978,5978,5978,5978,5978,
243,5978,5978,5978,5978,5978,
244,5978,5978,5978,5978,5978,
245,5978,5978,5978,5978,5978,
246,5978,5978,5978,5978,5978,
247,5978,5978,5978,5978,5978,
248,5978,5978,5978,5978,5978,
249,6612,6612,6612,6612,6612,
250,6612,6612,6612,6612,6612,
251,6612,6612,6612,6612,6612,
252,6612,6612,6612,6612,6612,
253,6612,6612,6612,6612,6612,
254,6612,6612,6612,6612,6612,
255,6612,6612,6612,6612,6612,
256,6612,6612,6612,6612,6612,
257,6612,6612,6612,6612,6612,
258,6612,6612,6612,6612,6612,
259,6612,6612,6612,6612,6612,
260,6612,6612,6612,6612,6612,
261,6612,6612,6612,6612,6612,
262,6612,6612,6612,6612,6612,
263,6612,6612,6612,6612,6612,
264,6612,6612,6612,6612,6612,
265,6612,6612,6612,6612,6612,
266,6612,6612,6612,6612,6612,
267,6612,6612,6612,6612,6612,
268,6612,6612,6612,6612,6612,
269,6612,6612,6612,6612,6612,
270,6612,6612,6612,6612,6612,
271,6612,6612,6612,6612,6612,
272,6612,6612,6612,6612,6612,
273,6612,6612,6612,6612,6612,
274,6612,6612,6612,6612,6612,
275,6612,6612,6612,6612,6612,
276,6612,6612,6612,6612,6612,
277,7273,7273,7273,7273,7273,
278,7273,7273,7273,7273,7273,
279,7273,7273,7273,7273,7273,
280,7273,7273,7273,7273,7273,
281,7273,7273,7273,7273,7273,
282,7273,7273,7273,7273,7273,
