0,2.50
10,393.33
20,907.50
30,1278.33
40,1907.50
50,2466.67
60,2981.67
70,3529.17
80,3901.67
90,4573.33
100,5212.50
110,5768.33
120,6316.67
130,6847.50
140,7164.17
150,7687.50
160,8157.50
170,8590.00
180,9020.83
190,9290.83
200,9852.50
210,10481.67
220,11009.17
230,11534.17
240,12049.17
250,12426.67
260,13007.50
270,13451.67
280,13859.17
290,14266.67
300,14529.17
310,14999.17
320,15474.17
330,15969.17
340,16461.67
350,16951.67
360,17305.00
370,17899.17
380,18410.00
390,18831.67
400,19214.17
410,19596.67
420,19880.83
430,20330.00
440,20727.50
450,21120.00
460,21595.00
470,21926.67
480,22479.17
490,22993.33
500,23455.83
510,23915.83
520,24309.17
530,24603.33
540,25045.00
550,25416.67
560,25780.83
570,26143.33
580,26421.67
590,26930.00
600,27426.67
610,27866.67
620,28301.67
630,28569.17
640,29093.33
650,29515.83
660,29861.67
670,30203.33
680,30545.83
690,30806.67
700,31205.83
710,31615.83
720,32035.00
730,32455.00
740,32732.50
750,33223.33
760,33702.50
770,34101.66
780,34433.33
790,34762.50
800,35011.66
810,35405.00
820,35741.66
830,36067.50
840,36449.16
850,36716.66
860,37195.00
870,37638.33
880,38028.33
890,38420.83
900,38775.83
910,39011.66
920,39380.83
930,39697.50
940,39999.16
950,40301.66
960,40516.66
970,40939.16
980,41367.50
990,41745.00
1000,42122.50
