0,56,56,56,56,56,
1,56,56,56,56,56,
2,69,69,69,69,69,
3,96,96,96,96,96,
4,127,127,127,127,127,
5,157,157,157,157,157,
6,184,184,184,184,184,
7,216,216,216,216,216,
8,252,252,252,252,252,
9,288,288,288,288,288,
10,320,320,320,320,320,
11,353,353,353,353,353,
12,387,387,387,387,387,
13,425,425,425,425,425,
14,457,457,457,457,457,
15,493,493,493,493,493,
16,525,525,525,525,525,
17,565,565,565,565,565,
18,597,597,597,597,597,
19,626,626,626,626,626,
20,664,664,664,664,664,
21,713,713,713,713,713,
22,754,754,754,754,754,
23,787,787,787,787,787,
24,818,818,818,818,818,
25,857,857,857,857,857,
26,886,886,886,886,886,
27,926,926,926,926,926,
28,962,962,962,962,962,
29,1002,1002,1002,1002,1002,
30,1033,1033,1033,1033,1033,
31,1072,1072,1072,1072,1072,
32,1112,1112,1112,1112,1112,
33,1142,1142,1142,1142,1142,
34,1189,1189,1189,1189,1189,
35,1220,1220,1220,1220,1220,
36,1259,1259,1259,1259,1259,
37,1296,1296,1296,1296,1296,
38,1333,1333,1333,1333,1333,
39,1374,1374,1374,1374,1374,
40,1410,1410,1410,1410,1410,
41,1450,1450,1450,1450,1450,
42,1481,1481,1481,1481,1481,
43,1528,1528,1528,1528,1528,
44,1567,1567,1567,1567,1567,
45,1600,1600,1600,1600,1600,
46,1634,1634,1634,1634,1634,
47,1674,1674,1674,1674,1674,
48,1715,1715,1715,1715,1715,
49,1757,1757,1757,1757,1757,
50,1792,1792,1792,1792,1792,
51,1827,1827,1827,1827,1827,
52,1870,1870,1870,1870,1870,
53,1910,1910,1910,1910,1910,
54,1945,1945,1945,1945,1945,
55,1976,1976,1976,1976,1976,
56,2013,2013,2013,2013,2013,
57,2055,2055,2055,2055,2055,
58,2089,2089,2089,2089,2089,
59,2131,2131,2131,2131,2131,
60,2170,2170,2170,2170,2170,
61,2216,2216,2216,2216,2216,
62,2252,2252,2252,2252,2252,
63,2282,2282,2282,2282,2282,
64,2328,2328,2328,2328,2328,
65,2370,2370,2370,2370,2370,
66,2412,2412,2412,2412,2412,
67,2447,2447,2447,2447,2447,
68,2497,2497,2497,2497,2497,
69,2540,2540,2540,2540,2540,
70,2583,2583,2583,2583,2583,
71,2622,2622,2622,2622,2622,
72,2676,2676,2676,2676,2676,
73,2716,2716,2716,2716,2716,
74,2751,2751,2751,2751,2751,
75,2782,2782,2782,2782,2782,
76,2834,2834,2834,2834,2834,
77,2882,2882,2882,2882,2882,
78,2917,2917,2917,2917,2917,
79,2964,2964,2964,2964,2964,
80,3007,3007,3007,3007,3007,
81,3056,3056,3056,3056,3056,
82,3092,3092,3092,3092,3092,
83,3134,3134,3134,3134,3134,
84,3171,3171,3171,3171,3171,
85,3208,3208,3208,3208,3208,
86,3238,3238,3238,3238,3238,
87,3272,3272,3272,3272,3272,
88,3336,3336,3336,3336,3336,
89,3363,3363,3363,3363,3363,
90,3408,3408,3408,3408,3408,
91,3467,3467,3467,3467,3467,
92,3505,3505,3505,3505,3505,
93,3537,3537,3537,3537,3537,
94,3582,3582,3582,3582,3582,
95,3629,3629,3629,3629,3629,
96,3662,3662,3662,3662,3662,
97,3705,3705,3705,3705,3705,
98,3765,3765,3765,3765,3765,
99,3803,3803,3803,3803,3803,
