0,0,16,16,16,,
0,100,324,324,324,,
0,200,669,669,669,,
0,300,1035,1035,1035,,
0,400,1421,1421,1421,,
0,500,1809,1809,1809,,
0,600,2191,2191,2191,,
0,700,2555,2555,2555,,
0,800,2966,2966,2966,,
0,900,3363,3363,3363,,
1,0,11,16,16,,
1,100,322,322,322,,
1,200,671,671,671,,
1,300,1038,1038,1038,,
1,400,1425,1425,1425,,
1,500,1811,1811,1811,,
1,600,2181,2181,2181,,
1,700,2563,2563,2563,,
1,800,2956,2956,2956,,
1,900,3350,3350,3350,,
2,0,17,15,15,,
2,100,314,314,314,,
2,200,667,667,667,,
2,300,1040,1040,1040,,
2,400,1421,1421,1421,,
2,500,1812,1812,1812,,
2,600,2182,2182,2182,,
2,700,2563,2563,2563,,
2,800,2958,2958,2958,,
2,900,3335,3335,3335,,
3,0,16,16,14,,
3,100,323,323,323,,
3,200,659,659,659,,
3,300,1041,1041,1041,,
3,400,1425,1425,1425,,
3,500,1815,1815,1815,,
3,600,2184,2184,2184,,
3,700,2560,2560,2560,,
3,800,2957,2957,2957,,
3,900,3363,3363,3363,,
4,0,16,17,17,,
4,100,321,321,321,,
4,200,671,671,671,,
4,300,1037,1037,1037,,
4,400,1425,1425,1425,,
4,500,1809,1809,1809,,
4,600,2188,2188,2188,,
4,700,2557,2557,2557,,
4,800,2960,2960,2960,,
4,900,3358,3358,3358,,
5,0,17,19,18,,
5,100,325,325,325,,
5,200,671,671,671,,
5,300,1036,1036,1036,,
5,400,1424,1424,1424,,
5,500,1811,1811,1811,,
5,600,2185,2185,2185,,
5,700,2560,2560,2560,,
5,800,2966,2966,2966,,
5,900,3358,3358,3358,,
6,0,17,17,17,,
6,100,326,326,326,,
6,200,670,670,670,,
6,300,1044,1044,1044,,
6,400,1428,1428,1428,,
6,500,1815,1815,1815,,
6,600,2187,2187,2187,,
6,700,2560,2560,2560,,
6,800,2963,2963,2963,,
6,900,3348,3348,3348,,
7,0,17,17,17,,
7,100,322,322,322,,
7,200,672,672,672,,
7,300,1041,1041,1041,,
7,400,1422,1422,1422,,
7,500,1812,1812,1812,,
7,600,2184,2184,2184,,
7,700,2566,2566,2566,,
7,800,2955,2955,2955,,
7,900,3357,3357,3357,,
8,0,17,15,15,,
8,100,324,324,324,,
8,200,671,671,671,,
8,300,1042,1042,1042,,
8,400,1422,1422,1422,,
8,500,1811,1811,1811,,
8,600,2185,2185,2185,,
8,700,2563,2563,2563,,
8,800,2955,2955,2955,,
8,900,3357,3357,3357,,
9,0,17,17,17,,
9,100,324,324,324,,
9,200,672,672,672,,
9,300,1037,1037,1037,,
9,400,1424,1424,1424,,
9,500,1812,1812,1812,,
9,600,2191,2191,2191,,
9,700,2560,2560,2560,,
9,800,2957,2957,2957,,
9,900,3350,3350,3350,,
